Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
8/20,Sunday,INSTAGRAM,64,Social Media
8/20,Sunday,TIKTOK,58,Social Media
8/20,Sunday,MESSAGES,48,Social Media
8/20,Sunday,MAPS,43,Travel
8/20,Sunday,TWITTER,24,Social Media
8/20,Sunday,SPOTIFY,12,Entertainment
8/20,Sunday,DOORDASH,7,Other
8/20,Sunday,DISCORD,3,Social Media
8/20,Sunday,PHONE,3,Other
8/21,Monday,INSTAGRAM,69,Social Media
8/21,Monday,CANDY CRUSH SAGA,24,Entertainment
8/21,Monday,SPOTIFY,24,Entertainment
8/21,Monday,SOLITAIRE,24,Entertainment
8/21,Monday,TIKTOK,18,Social Media
8/21,Monday,CALCULATOR,17,Other
8/21,Monday,MESSAGES,15,Social Media
8/21,Monday,SIMPLYSING,10,Entertainment
8/21,Monday,TWITTER,8,Social Media
8/21,Monday,DISCORD,6,Social Media
8/21,Monday,YOUTUBE,6,Entertainment
8/21,Monday,CANVAS STUDENT,4,Education
8/22,Tuesday,INSTAGRAM,64,Social Media
8/22,Tuesday,MESSAGES,45,Social Media
8/22,Tuesday,TIKTOK,27,Social Media
8/22,Tuesday,YOUTUBE,24,Entertainment
8/22,Tuesday,TWITTER,14,Social Media
8/22,Tuesday,CANDY_CRUSH_SAGA,7,Entertainment
8/22,Tuesday,SPOTIFY,5,Entertainment
8/22,Tuesday,DISCORD,3,Social Media
8/23,Wednesday,CANDY CRUSH SAGA,53,Entertainment
8/23,Wednesday,INSTAGRAM,50,Social Media
8/23,Wednesday,TIKTOK,42,Social Media
8/23,Wednesday,MESSAGES,24,Social Media
8/23,Wednesday,TWITTER,19,Social Media
8/23,Wednesday,CALCULATOR,10,Other
8/23,Wednesday,YOUTUBE,9,Entertainment
8/23,Wednesday,SOLITAIRE,8,Entertainment
8/23,Wednesday,MAPS,7,Travel
8/23,Wednesday,PHOTOS,5,Other
8/23,Wednesday,SPOTIFY,3,Entertainment
8/24,Thursday,YOUTUBE,110,Entertainment
8/24,Thursday,INSTAGRAM,78,Entertainment
8/24,Thursday,CANDY CRUSH SAGA,45,Entertainment
8/24,Thursday,MESSAGES,27,Social Media
8/24,Thursday,MAPS,23,Travel
8/24,Thursday,SOLITAIRE,22,Entertainment
8/24,Thursday,TWITTER,18,Social Media
8/24,Thursday,TIKTOK,13,Social Media
8/24,Thursday,SPOTIFY,7,Entertainment
8/25,Friday,INSTAGRAM,87,Social Media
8/25,Friday,CANDY CRUSH SAGA,46,Entertainment
8/25,Friday,TIKTOK,31,Social Media
8/25,Friday,TWITTER,21,Social Media
8/25,Friday,MESSAGES,20,Social Media
8/25,Friday,SPOTIFY,19,Entertainment
8/25,Friday,MAPS,13,Travel
8/25,Friday,SOLITAIRE,9,Entertainment
8/25,Friday,GMAIL,6,Other
8/26,Saturday,CANDY CRUSH SAGA,98,Entertainment
8/26,Saturday,INSTAGRAM,82,Social Media
8/26,Saturday,MAPS,34,Travel
8/26,Saturday,TIKTOK,25,Social Media
8/26,Saturday,MESSAGES,25,Social Media
8/26,Saturday,YOUTUBE,18,Entertainment
8/26,Saturday,SOLITAIRE,14,Entertainment
8/26,Saturday,TWITTER,11,Social Media
8/26,Saturday,DOORDASH,6,Other
8/26,Saturday,DISCORD,4,Social Media
8/26,Saturday,CANVAS STUDENT,4,Social Media